Term,Canada
Canada appeared in 60 documents,Total Words(m),Frequency(f),Relative frequency(f/m)
 2 <TITLE>LATIN OIL PRODUCERS TO MEET IN CARACAS</TITLE> <DATELINE> CARACAS March 25 </DATELINE><BODY>Five regional oil producing nations will gather in Caracas tommorrow for a two day meeting expected to center on ways to combat proposals for a U S tax on imported petroleum the Venezuela s ministry of energy and mines said Oil ministers from Mexico Trinidad and Tobago Ecuador and Venezuela will be on hand for the fifth meeting of the informal group of Latin American and Caribbean Petroleum Exporters formed in 1983 it said Colombia will also attend for the first time as an observer nation the ministry said Energy and Mines Minister Arturo Hernandez Grisanti said the conference has no set agenda but one entire session Friday will be devoted to proposals for a tax on imported oil Two of the group s members Venezuela and Mexico are second and third largest foreign suppliers of oil to the United States respectively following Canada Venezuela concerned about the effect such a tax would have on its exports undertook a diplomatic push to coordinate strategy against such measures In February Canadian Energy Minister Marcel Masse was invited to Caracas for talks with Hernandez on proposals for an oil import tax Reuter 3 </BODY>,205,1,0.004878048780487805
 2 <TITLE>FURTHER YEN RISE WOULD HURT JAPAN ECONOMY SUMITA</TITLE> <DATELINE> TOKYO March 26 </DATELINE><BODY>Bank of Japan Governor Satoshi Sumita said a further yen rise would have adverse effects on the Japanese economy He told Japanese business leaders the Bank of Japan will continue to take adequate measures including market intervention to stabilize exchange rates if necessary in close cooperation with other major industrialized nations He said the current instability of exchange rates will not last Six major nations Britain Canada France Japan the U S And West Germany agreed in Paris last month to act together to hold currencies stable Sumita said the Bank of Japan will continue to pursue adequate and flexible monetary policies while watching economic and financial developments in and outside Japan He said the decision to cut the discount rate on February 20 was a hard choice for the Bank because monetary conditions had already been sufficiently eased To prevent a resurgence of inflation the Bank will take a very cautious stance regarding developments stemming from easy credit conditions he said He said the latest discount rate cut to 2 5 pct should stabilize exchange rates and expand domestic demand Commenting on the dollar s fall below 150 yen Sumita reiterated he cannot find any specific reason for the currency s weakness The market undertook speculative dollar selling by reacting to overseas comments by monetary authorities and trade tension he said Sumita repeated that the Japanese economy may gradually recover in the latter half of the 1987/88 fiscal year ending April 1 1988 provided exchange rates stabilize REUTER 3 </BODY>,265,1,0.0037735849056603774
 2 <TITLE>SRI LANKA TO LAUNCH APPEAL FOR DROUGHT AID</TITLE> <DATELINE> COLOMBO March 26 </DATELINE><BODY>Sri Lanka will appeal to its major aid donors for at least 21 mln dlrs in financial support to help it overcome the country s worst drought in 26 years Government officials told Reuters that letters detailing the extent of the drought would be sent this week to the 14 countries that gave some 700 mln dlrs in development aid to Sri Lanka last year These include Australia Canada Japan Britain the U S And West Germany Officials in the Finance and Planning Ministry coordinating the aid request said Sri Lanka wanted the money over a six month period Foreign Minister Tyronne Fernando last week briefed representatives of aid donor countries and international relief agencies on the drought and made a general appeal for help The state had disbursed 800 000 dlrs by February for the most badly affected districts but the Finance and Planning Ministry officials said no further relief was available from the budget REUTER 3 </BODY>,173,1,0.005780346820809248
 2 <TITLE>MIYAZAWA SAYS MAJOR NATIONS ACTING ON PARIS ACCORD</TITLE> <DATELINE> TOKYO March 26 </DATELINE><BODY>Finance Minister Kiichi Miyazawa said major nations are taking action to stabilise exchange rates in line with their agreement in Paris last month government sources said Miyazawa told an Upper House session the six nations Britain Canada France Japan the U S And West Germany are abiding by the Paris accord The six agreed to cooperate to stabilise exchange rates at around current levels Miyazawa said he wishes to attend a meeting of seven major nations G 7 expected just before the IMF/World Bank Interim Committee meeting in Washington starting on April 9 The sources quoted Miyazawa as saying Japan is trying to prevent a further rise of the yen Japan is taking the matter seriously he added Asked if the six nations had agreed to stabilise the dollar at about 153 yen the rate prevailing at the time of the Paris talks Miyazawa declined to give specific figures and said any mention of specific rates would create an unexpected situation REUTER 3 </BODY>,178,1,0.0056179775280898875
 2 <TITLE>MONETARY AUTHORITIES SAID TO LOSE CREDIBILITY</TITLE> <AUTHOR> By Etsuko Yamamoto Reuters</AUTHOR> <DATELINE> TOKYO March 26 </DATELINE><BODY>The monetary authorities of the major industrialised countries lost their credibility this week as the dollar was sold off despite pleas from ministers and widespread central bank intervention dealers said The dollar s fall below 150 yen which follows last month s Paris currency stabilisation agreement by the U S Japan West Germany Britain France and Canada is a dramatic reversal of the success of the Group of Five G 5 1985 New York Plaza meeting to weaken the dollar they said The G 5 and the market agreed in 1985 that the dollar was overvalued but this time the market and the authorities are on different sides dealers said Apparent confusion in the ranks of the G 5 nations has encouraged the market to challenge the authorities despite concerted intervention by the central banks of the United States Japan Britain and West Germany they said Pleas by Japanese Finance Minister Kiichi Miyazawa for action to stabilise the dollar were matched over the weekend by comments by U S Treasury Secretary James Baker that there was no target zone for the dollar The dollar was sold anyway Yesterday s comment by Baker that he stood by the Paris accord did nothing to reverse sentiment dealers said The intervention backed by remarks by Fed Chairman Paul Volcker and Japanese central bank governor Satoshi Sumita which a few months ago would have brought the dollar fall to a halt has done little but slow the rate of its decline they noted The situation has again raised the question of whether intervention can succeed against the trend in today s huge currency markets Dealers said the market s cool response to intervention reflected a basic oversupply of dollars This means that the current dollar selling is not of a sheer speculative nature but backed by real demand said Koichi Miyazaki deputy general manager at Sanwa Bank Dealers said the dollar will remain weak despite the intervention and it is only a matter of time before some operators try to push it below 148 yen The dollar closed in Tokyo today at 149 40 against New York s 149 30/40 Its record low was 148 40 in Tokyo last Tuesday Dealers said the dollar will gain only temporary support to rise above 150 yen toward early April when the Group of Seven industrial nations meets to discuss currencies again The market expects the seven nations the Paris six plus Italy to try to agree on another way to stabilise currencies apart from intervention a chief dealer at a U S Bank said Dealers said they were unsure what other methods could be used and they are sceptical anyway about how long the Paris accord nations particulary the U S Will remain willing to prevent a further dollar fall given the continuing high U S Trade deficit especially with Japan Further pressure from a protectionist U S Congress for a lower dollar is also limiting Washington s options they said The market now thinks the central bank action is to slow the dollar fall not to push it back over 150 yen said Tadahiko Nashimoto manager at Long Term Credit Bank of Japan Another bearish factor for the dollar is expected large forward dollar sales from April to June for export bills falling due for Japanese exporters from April to September The exporters had delayed in expectation of a further yen depreciation dealers said Yesterday s request to 30 trading houses by the Ministry of International Trade and Industry to restrict dollar sales looks ineffective in light of this real demand they said The market is also anticipating active institutional dollar sales to hedge currency risks on bond holdings from the new business year starting April 1 dealers said The market seems to have established a new dollar trading range between 147 and 149 yen one dealer said The dollar traded between 151 and 153 yen after the Paris accord on February 22 and 150 yen was then considered the low end for the dollar against the yen he said Some dealers now believe that if the dollar falls below 148 yen it will pick up renewed downward momentum and slide to 145 REUTER 3 </BODY>,718,1,0.001392757660167131
 2 <TITLE>IWC LIFTS WORLD GRAIN OUTPUT ESTIMATE TO RECORD</TITLE> <DATELINE> LONDON March 26 </DATELINE><BODY>The International Wheat Council IWC lifted its estimate for 1986/87 world wheat and coarse grain production by one mln tonnes to a record 1 377 mln compared with 1 351 mln tonnes the previous season In its monthly market report the IWC said it is leaving unchanged its forecast of world wheat production for the coming 1987/88 season at between 520 and 530 mln tonnes against a record 534 mln in 1986/87 The one mln tonne upward revision in 1986/87 wheat production reflects several minor adjustments The IWC raised the 1986/87 coarse grain trade figure two mln to 87 mln tonnes It left wheat trade unchanged at 86 mln The IWC 1986/87 estimate for world trade in wheat and coarse grain is thus estimated two mln tonnes higher at 173 mln against 169 mln the previous season with the forecast three mln rise in Soviet imports offset by small reductions elsewhere The IWC said the area harvested for wheat in 1987/88 is likely to be down from last year as low world prices and restrictive national policies measures begin to take effect At least four of the five major exporters expect to see a drop in wheat sowings without offset in other countries There is still potential for even higher average wheat yields but the IWC said there are increasing signs world output may level off Although it is still early to assess the coarse grain outlook the IWC said barley acreage is likely to fall in the European Community but increase in Canada U S Maize area is expected lower but oat sowings could rise After damage to its maize crop last year the Soviet Union plans to expand this area by as much as 50 pct to over six mln hectares in a year when many frost damaged wheat fields are likely to be resown to this and other spring crops Improved weather and a further increase in the use of intensive cultivation methods could therefore see a marked rise in Soviet maize output in 1987 the IWC said Any reduction in world coarse grain output would be bolstered by the large carryover stocks from 1986/87 the IWC said It left its estimates of wheat and coarse grain stocks at end 127 of different marketing years unchanged at 178 and 210 mln tonnes respectively against 160 and 167 mln a year earlier After record world durum wheat production of 218 8 mln tonnes last season the IWC said there are already signs of another large crop this coming season with higher output expected in the EC Canada the U S And North Africa REUTER 3 </BODY>,452,2,0.004424778761061947
 2 <TITLE>IWC SAYS EFFECT OF LOWER SUPPORT PRICES LIMITED</TITLE> <DATELINE> LONDON March 26 </DATELINE><BODY>Efforts by governments to control wheat surpluses by cutting support prices have met with only partial success the International Wheat Council IWC says in its latest monthly report Faster results could be achieved by a policy of reducing both price and areas as employed in the United States the IWC says in a survey of support prices in the five main wheat exporters Argentina Australia Canada the EC and the U S In some countries for example Australia and Argentina which are highly dependent on wheat shipments for export income there may be problems in reducing production A policy of cutting wheat production could lead to unemployment with job prospects outside agriculture limited Alternative crops may offer inferior returns which could then lead to lost export revenue and balance of payments problems The IWC outlines three courses of action open to governments in wheat exporting countries They could continue to support prices in the hope that when the world economy improves demand for wheat will rise and surpluses wil be reduced or eliminated Alternatively support could be limited to wheat which could be easily sold without needing to be stored for a long period This option may prove to be the most politically unattractive and would result in many producers abandoning wheat production the report said The third option would be for governments to distinguish between the commercial and social aspects of agriculture possibly varying support prices according to farm size or overall production The IWC review covers support prices in the major exporting countries since 1982 At some time during that period all the producers cut support prices in response to growing surpluses These changes did not always result in lower export subsidies as on several occasions currency fluctuations more than offset lower prices in the domestic currency For example between 1985/86 and 1986/87 the EC intervention price for bread wheat fell from 209 30 to 179 44 European currency units Ecus It dollar terms the currency in which most export transactions are denominated the intervention price however rose to 193 dlrs from 168 The high cost of supporting farm prices has put a strain on national exchequers and some governments are now searching for ways to cut expenditure the report says The proportion of world wheat output produced by the five major exporters declined in the period covered by the survey from 40 pct in 1982 to 35 pct in 1987 This was partly due to increased production in China and India The period saw an upward trend in yields although this was countered in the Argentina the U S And Australia by lower acreages In Argentina a reduction in the sown area of about 20 per cent was put down to low prices causing producers to switch to other enterprises particularly livestock while lower U S Acreages are attributed to official incentives REUTER 3 </BODY>,492,1,0.0020325203252032522
 2 <TITLE>BRITISH BANKS RESIST SIGNING MEXICO PACKAGE</TITLE> <AUTHOR> By Marguerite Nugent Reuters</AUTHOR> <DATELINE> LONDON March 26 </DATELINE><BODY>British banks are resisting signing a 76 billion dlr rescheduling package for Mexico in a last ditch effort to get all participants to contribute equally to a new 7 7 billion dlr loan contained in the package Christopher Brougham regional manager rescheduling unit at Lloyds Bank Plc said in response to a Reuter enquiry that the six major U K Clearing banks last week sent a telex to Citibank saying they would contribute what was requested provided all other major lenders did the same and that the U S Banks contribute at least 90 pct of the amount required by them Other bankers who declined to be identified said other groups of banks particularly those in Switzerland France and Canada were equally reluctant to sign although they had not sent any telex to Citibank which chairs Mexico s 13 bank advisory group However they said it was likely that if and when the British banks sign the accord the others are likely to follow Under the agreement for which the signing began on Friday commercial banks are being asked to contribute 12 9 pct of their exposure to Mexico as of August 1982 That was the date of the first Mexican debt crisis After months of haggling a proposed rescheduling agreement for Mexico was struck last September during the annual meeting of the World Bank and International Monetary Fund in Washington Ever since then the advisory group of which Lloyds is a member has been attempting to round up the needed signatories However there has been considerable resistance to the package partly because of some of the clauses it contains and partly because many small U S Regional banks do not want to increase their exposure to any Latin American countries Brougham said We British banks have always played along for Mexico and will do so as long as others share equally The decision to send the telexes was agreed on by the six clearers jointly but each sent its own telex In addition to Lloyds telexes were sent by National Westminster Bank Plc Barclays Bank Plc Midland Bank Plc 127 tandard Chartered Bank Plc and Royal Bank of Scotland Plc Brougham noted that so far the U S Banks have only reached 83 1/2 pct of the total that is expected from them while the level of contributions from the U K Banks is well in excess of 90 pct The U S Figure should be closer to ours he said Many bankers have been angered by the resistance of the regional U S Banks noting that even if they don t contribute to the new loan they still will be receiving interest on the existing loans The banks still have three weeks to sign the agreement and bankers are hoping all will go according to plan In the meantime bankers expect further pressure will be exercised on the regional banks and the major U S Banks to find a solution to the problem Many have suggested that the larger U S Banks should take on the additional obligations but so far they have resisted this Bankers expect that much of the pressure on the U S Banks will come from U S Regulators notably the Federal Reserve Bankers prefer to view the stance taken by the British banks and other national groups as a matter of principal and burden sharing rather than as a pressure tactic to force the U S Banks to make up their share The bankers are not the only ones to be upset by the protracted negotiations surrounding the agreement The Mexicans themselves have been angered by the delays At the signing in New York last Friday Finance Minister Gustavo Petricioli sounded a warning to the recalcitrant banks Those who supported us today can be sure that Mexico will continue to be open and willing to share with them the business opportunities which its future growth will create Petricioli said Conversion of bank debt into equity investments in Mexico is one option banks can take advantage of to reduce their exposure But Mexico halted its debt for equity program in February in an effort to concentrate on finalising the package On Friday Petricioli said We will be a lot more expeditious in processing the requests of banks that have supported us The pressure on the U S Banks comes at a time when other major Latin American debtors are in the process of crucial debt negotiations Brazil the third world s largest debtor has suspended all interest payments on its 109 billion dlrs of foreign debt Many of the major U S Banks including Citibank have already said they might have to put their Brazil loans on a cash basis and take the financial losses which could total billions of dollars This would be required by U S Banking regulations if the interest payments are more than 90 days overdue However the U S Banks are not the only ones threatened by regulations In the U K A proposed Inland Revenue ruling would affect the tax treatment of certain types of loans many of which are made to Latin American countries Basically the ruling wants to limit the tax credit a bank can claim for tax withheld by foreign governments on loan interest payments The British banks are planning to fight the proposals as their implementation could prove extremely costly not just in terms of compliance but in limiting future business REUTER 3 </BODY>,927,1,0.0010787486515641855
 2 <TITLE>CAROLIAN SYSTEMS SEES LOWER FISCAL 1987 PROFIT</TITLE> <DATELINE> TORONTO March 26 </DATELINE><BODY> lt Carolian Systems International Inc> said it anticipates profit for fiscal 1987 ending June 30 will be lower than fiscal 1986 earnings of 410 000 dlrs despite an expected revenue increase of 37 pct to more than 3 5 mln dlrs After an extraordinary expense associated with the December 1986 withdrawal of a planned common share offering we expect to be modestly profitable for the year but below the 410 000 dlrs earned in fiscal 1986 the company said Carolian previously reported fiscal six month profit of 12 933 dlrs excluding an extraordinary loss of 17 210 dlrs compared to earnings of 69 829 dlrs in the prior year The company said it anticipated fiscal 1987 earnings to be lower due to withdrawal of its share offering computer equipment shipment delays and costs associated with sales staff expansion A strengthening Canadian dollar against U S currency will also adversely affect revenues and earnings since 85 pct of revenues are generated by sales outside Canada said Carolian a leading supplier of utility software for Hewlett Packard computer systems Reuter 3 </BODY>,194,1,0.005154639175257732
 2 <TITLE>BANK OF FRANCE BUYS DOLLARS SELLS YEN DEALERS</TITLE> <DATELINE> PARIS March 26 </DATELINE><BODY>The Bank of France intervened on the market to buy dollars and sell yen to support the U S Currency dealers said A major French bank said it acted for the central bank in buying between five and 15 mln dlrs against yen A dealer at another bank said his bank had been asked to publicise the intervention to send a clear signal to the markets that central banks were acting in concert to maintain the exchange rates agreed to be appropriate at last month s meeting of the Group of Five and Canada in Paris The dollar was being quoted at 6 0950/70 francs in early afternoon dealings after a fix of 6 09425 francs The major French bank said it sold yen at a rate of 149 28 against the dollar The U S Currency was subsequently being quoted at 149 25/35 The Bank of Japan was reported in the market overnight to bolster the credibility of the Paris accord following several days of pressure against the dollar Pressure developed after U S Treasury Secretary James Baker repeated earlier statements that the Reagan administration had no targets for the dollar apparently undermining the assumption that the agreement in Paris had fixed broad fluctuation ranges for major currencies Baker later said his remark had been misinterpreted REUTER 3 </BODY>,234,1,0.004273504273504274
 2 <TITLE>EMCO SETS 75 MLN DLR DEBENTURE OFFERING</TITLE> <DATELINE> TORONTO March 26 </DATELINE><BODY> lt Emco Ltd> said the board approved a public offering of 75 0 mln dlrs principal amount of 7 1/4 pct convertible subordinated debentures maturing April 30 2002 subject to regulatory approvals The debentures will be convertible into common shares at any time up to April 30 1992 at a price of 17 50 dlrs a share and then up to April 30 1997 at 18 50 dlrs a share Masco Corp lt MAS> holding 44 pct of Emco has agreed to purchase 33 0 mln dlrs of the debentures Underwriters are Gordon Capital Corp Midland Doherty Ltd Merrill Lynch Canada Inc and Levesque Beaubien Inc Reuter 3 </BODY>,123,1,0.008130081300813009
 2 <TITLE>MULFORD SAYS G 6 WANTS STABILITY</TITLE> <DATELINE> WASHINGTON March 26 </DATELINE><BODY>Treasury Assistant Secretary David Mulford said the Paris agreement among leading industrial nations is intended to produce reasonable stability in exchange markets over the next few months He told a Senate Banking subcommittee the Group of Five nations and Canada agreed in Paris to see if there can t be a period of reasonable stability instead of volatility to give time for the committments in Paris to take place Asked by Sen Phil Gramm R Tex whether U S intervention was not in fact overvaluing the dollar Mulford replied that the administration judged that after economic adjustments current exchange rates reflect underlying economic fundamentals In particular the stability sought by the nations would allow West Germany and Japan to stimulate their economies domestically and the U S to cut its budget deficit Mulford said in his testimony He stressed that a further sharp fall in the dollar would hurt the ability of Germany and Japan to boost growth Mulford noted that half of West Germany s economy was affected by international developments He also said increased Japanese domestic growth would result in more U S exports to Japan and would not necessarily lead to greater Japanese capital flows to the U S as Gramm asserted if Japan reformed its domestic capital market Commenting on the Paris agreement Mulford said I think exchange rates ought to be stabilized so Germany s and Japan s efforts can be carried out Mulford rejected Gramm s argument that faster domestic growth in Germany and Japan would result in an even lower dollar Mulford said the administration wanted to achieve a pattern of higher growth overseas as a way of improving the U S trade deficit Otherwise he said the trade deficit would be resolved either through a much lower dollar or a U S recession both alternatives he termed unacceptable and undesirable Reuter 3 </BODY>,323,1,0.0030959752321981426
 2 <TITLE>DOLLAR/YEN INTERVENTION RESPONDS TO PRESSURE</TITLE> <AUTHOR> By Brian Childs Reuters</AUTHOR> <DATELINE> PARIS March 26 </DATELINE><BODY>The Bank of France intervened to buy small amounts of dollars and sell yen in Paris today to stabilise the exchange rates agreed at last month s meeting of Finance Ministers of the Group of Five and Canada foreign exchange dealers said But they said recent central bank intervention in the foreign exchange markets appeared to be a limited reaction to temporary pressures rather than a major defence operation A Bank of France spokesman declined all comment but sources close to the central bank said it had also intervened yesterday Dealers said the earlier intervention was in concert with the Bundesbank and Bank of Japan The sources said the French central bank could have been in the market again today in two way operations not necessarily on its own account but to counter short term pressures arising from the end of the Japanese financial year on March 31 One major French bank said it bought between five and 15 mln dlrs for the central bank and sold yen at 149 28 to the dollar Another bank said it had been asked by the Bank of France to say it was in the market a departure from the central bank s usual insistence on confidentiality But other banks said they had seen no sign of intervention which they said appeared to be on a very limited scale Even if 10 banks were buying five to 15 mln dlrs you would still be talking of a small overall amount said one dealer Recent intervention by the Bank of Japan appeared mainly to have been required to meet year end window dressing demand for yen This is a specific short term phenomenon rather than a wider trend the dealer said Operators have been extremely cautious about testing the dollar s trading ranges against the West German mark and Japanese yen These ranges were set in February s stabilisation agreement reached here by U S Treasury Secretary James Baker and the Finance Ministers of Japan Germany France Britain and Canada But speculative pressures started to build again this week after Baker was quoted on British television at the weekend as repeating earlier statements that Washington had no target for the dollar Baker yesterday moved to defuse speculation he was talking the dollar down telling a Cable News Network interviewer and a Senate committee he stood by the Paris agreement Foreign exchange markets had been misreading his comments he said REUTER 3 </BODY>,424,2,0.0047169811320754715
 2 <TITLE>MULFORD SAYS GERMANY JAPAN SHOULD DO MORE</TITLE> <DATELINE> WASHINGTON March 26 </DATELINE><BODY>Treasury Assistant Secretary David Mulford said he did not believe that West Germany and Japan have yet carried out their international responsibilities I do not believe they have up to this time Mulford told a Senate banking subcommittee He said that for the U S trade deficit to continue improving in the next two years We need more policy actions across the entire front of U S trade relations including Canada and the newly industrialized countries NICS In particular he said efforts by South Korea and Taiwan to strengthen their currencies were still disappointing Mulford also said that OECD nations need to grow an average three pct to help resolve the international debt crisis He noted that Japanese and European imports from Latin nations were significantly smaller than imports into the U S He stressed both Germany and Japan must continue to take economic and structural measures to ensure stronger sustained economic growth Reuter 3 </BODY>,169,1,0.005917159763313609
 2 <TITLE>SENATE SEEKS U S PROBE OF CANADIAN CORN LEVY</TITLE> <DATELINE> WASHINGTON March 26 </DATELINE><BODY>The Senate voted unanimously to seek an expedited U S probe of Canadian tariffs on corn imports to determine if the United States should retaliate By 99 to 0 the Senate went on record against the 84 9 cents per bushel tariff approved by the Canadian Import Tribunal The non binding measure asked for a probe by the U S Trade Representative to determine within 30 days whether the tariff violates the General Agreement on Tariffs and Trade and if so recommend within 60 days to President Reagan retaliatory action against Canada Reuter 3 </BODY>,110,1,0.00909090909090909
 2 <TITLE>EMHART lt EMH> WINS FOUR COMMUNICATIONS CONTRACTS</TITLE> <DATELINE> FARMINGTON Conn March 26 </DATELINE><BODY>Emhart Corp said it received four contracts valued at a total of seven mln dlrs to design develop and install data communications and automated dispatching systems The company said its Planning Research Corp unit which received the contracts will do the work for the city of Grand Rapids Mich the New Jersey Transit Authority the Los Angeles County Sheriff s office and the city of Calgary Alberta Canada Reuter 3 </BODY>,85,1,0.011764705882352941
 2 <TITLE>BRITISH TELECOM NTT SIGN COOPERATION AGREEMENT</TITLE> <DATELINE> LONDON April 7 </DATELINE><BODY>British Telecommunications Plc lt BTY L> said it had signed a collaboration agreement with Nippon Telegraph and Telephone Corp on the exchange of personnel and information over a three year period beginning April 7 The company said in a statement the plan is designed to promote increased business activities of both firms In a separate statement British Telecommunications said that it had signed a two year eight mln Canadian dlr distribution agreement with lt Gandalf Technologies Inc> of Canada to distribute its Mezza VoiceStation system in Canada and the U S Reuter 3 </BODY>,106,2,0.018867924528301886
 2 <TITLE>GM lt GM> SHIFTS LATIN AMERICAN ASIA OFFICERS</TITLE> <DATELINE> DETROIT April 7 </DATELINE><BODY>General Motors Corp said it set up a new office of Latin American operations as part of the company s continuing international restructuring The automaker named James F Waters Jr to head the operations Waters who will work out of the United States is General Motors vice president and group executive in charge of the Overseas Group In Asia Barton Brown General Motors vice president in charge of Asian African and International Export operations will assume responsibility for Australian operations General Motors also shifted some officers at its GM do Brasil and GM de Mexico operations In Brazil Clifford J Vaughn vice president and managing director of GM do Brasil will return to the United States as vice president of manufacturing at the Chevrolet Pontiac Canada Group Vaughn will be replaced as managing director of GM do Brasil by Robert B Stone vice president and managing director of GM de Mexico Stone will remain a vice president Richard C Nerod executive director of marketing and sales of GM do Brasil will become managing director GM de Mexico Reuter 3 </BODY>,194,1,0.005154639175257732
 2 <TITLE>GANDALF lt GANDF> BRITISH TELECOM IN AGREEMENT</TITLE> <DATELINE> OTTAWA April 7 </DATELINE><BODY>Gandalf Technologies Inc said it signed a two year eight mln dlr agreement with British Telecom to distribute British Telecom s Mezza Voicestation System in Canada and the United States Gandalf said it will market the system as the Gandalf Voicestation System Reuter 3 </BODY>,58,1,0.017241379310344827
 2 <TITLE>CANADA STOCKS HIGHER AT MIDSESSION</TITLE> <DATELINE> TORONTO April 7 </DATELINE><BODY>Toronto stocks prices rose higher into record territory bolstered by the resource sector but slowed the momentum of the four session climb The composite index rose 13 30 points to 3894 60 on volume of 19 4 mln shares Most stock groups joined in the rally with advances outpacing declines 443 to 339 Gold miner Galactic Resources improved 7/8 to 10 1/8 It announced yesterday plans to merge with Quartz Mountain Gold and said Cornucopia Resources granted an option to enter into a Nevada joint venture In other golds Hemlo Gold gained 7/8 to 27 1/4 and Lacana Mining rose 1 1/8 to 18 1/4 Oil shares provided support for the session s advance as oils also turned higher on Wall Street Imperial Oil class A surged 7/8 to 73 dlrs Shell Canada won 3/4 to 42 3/4 and Texaco Canada improved 3/4 to 36 3/4 Dome Petroleum slipped one ct to 1 15 dlrs after gaining eight cts yesterday Analysts said the stock was attractive on a technical basis adding they were increasingly optimistic that Dome will complete a debt reorganization Forest products continued higher Rising issues included Canfor Corp 1 1/4 to 35 3/4 British Columbia Forest Products 1/2 to 21 1/4 and Consolidated Bathurst 1/4 to 21 1/4 Non precious metals also joined in the resource based rally Alcan added 1/4 to reach 54 1/8 Falconbridge firmed 3/8 to 20 1/4 among actives and Inco firmed 1/8 to 21 7/8 Volume leaders were mixed Top active Canadian Pacific edged down 1/8 to 24 7/8 and Northern Telecom slipped 1/4 to 59 3/4 while International Thomson rose 1/4 to 16 1/2 Montreal s market portfolio index gained 7 67 points to 1942 70 with mining utility and oil stock groups higher In Vancouver the index rose 8 6 points to 1882 6 Reuter 3 </BODY>,318,3,0.009433962264150943
 2 <TITLE>bBANK OF CANADA DOLLAR STERLING RATES</TITLE> <DATELINE> Ottawa Apr 7 </DATELINE><BODY>The Bank of Canada said the U S dollar at soon was 1 3053 compared to 1 3074 dollars yesterday The pound sterling rates at noon 2 1130 compared to 2 1147 yesterday 3 </BODY>,47,2,0.0425531914893617
 2 <TITLE>DOLLAR STEADY IN EUROPE AHEAD OF WASHINGTON TALKS</TITLE> <AUTHOR> By Rowena Whelan Reuters</AUTHOR> <DATELINE> LONDON April 7 </DATELINE><BODY>The dollar was steady ahead of a series of meetings of leading finance ministers starting today in Washington despite low expectations for the outcome of the talks and still negative underlying sentiment toward the dollar There s too much disagreement between the Japanese and the rest for them to come out with anything unanimous said one U K Merchant bank trader reflecting the general tone However dealers said position squaring helped push the dollar to a final 1 8240/50 marks up from the opening 1 8195/205 and near yesterday s close of 1 8245/55 Meanwhile the pound was underpinned by today s opinion poll findings of further strong support for the Conservative Party but fear of Bank of England intervention limited buying Dealers said they doubted the U K Central bank had needed to sell sterling to curb rises today with the markets so quiet The Bank of England was rumoured to have sold pounds yesterday Sterling ended at 72 3 pct on the trade weighted index unchanged from the opening but off 0 1 point from yesterday s finish It closed at 1 6185/95 dlrs after an opening 1 6213/23 and previous close of 1 6163/73 and at 2 9490/520 marks against an opening 2 9540/75 and yesterday s 2 9490/530 Traders said there was little hope that the Western financiers will be able to find a lasting solution to the problem of currency instability during the current series of talks in Washington These are scheduled to start today with an informal Group of Five G 5 session Tomorrow s Group of Seven meeting of the U S Japan West Germany France the U K Italy and Canada is seen as the key meeting Traders said few operators will be prepared to open positions ahead of news emerging from the talks However some traders said that given the low level of expectations the market could be particularly susceptible to signs of accord between the U S And Japan which would give the dollar a sharp upward push They said interest is still largely centred on the yen with any fresh dollar weakness expected to show in that market first Meanwhile today s comments from U S Federal Reserve Board Chairman Paul Volcker failed to have a lasting impact on the market His statement that a further sizeable dollar fall could be counter productive aided a brief run up in mid afternoon but there was little followthrough traders said The dollar finished at 145 25/35 yen up from an opening 145 05/15 but below yesterday s European close of 146 00/10 It ended at 1 5120/30 Swiss francs against the start of 1 5130/40 and previous final 1 5180/90 and at 6 0650/700 French francs after beginning at 6 0525/75 and ending yesterday at 6 0660/710 REUTER 3 </BODY>,488,1,0.0020491803278688526
 2 <TITLE>CANADA LAWMAKERS URGE EXEMPTION FROM U S BILL</TITLE> <DATELINE> WASHINGTON April 7 </DATELINE><BODY>Lawmakers from Ontario asked their U S counterparts to exempt Canada from the mandatory trade retaliation provisions in a major trade bill being considered by the U S Congress At a meeting of the Northeast Midwest Coalition an organization of U S legislators David Cooke chairman of the Ontario Parliament s Select Committee on Economic Affairs said the exemption would help trade relations The trade legislation to be considered by the full House in late April would require President Reagan to retaliate against foreign unfair trade practices unless the trade actions would harm the U S economy Currently Reagan can reject trade sanctions on any grounds Cooke a member of the Liberal party told the U S congressmen I can understand the trade bill I think it has to do with concerns you have with the other parts of the world I would suggest to you that we are your best friends You do not have those concerns with Canada and you should sincerely consider exempting our country from that bill he added Reuter 3 </BODY>,190,3,0.015789473684210527
 2 <TITLE>JEUMONT SCHNEIDER SETS UP CANADIAN SUBSIDIARY</TITLE> <DATELINE> PARIS April 7 </DATELINE><BODY>Jeumont Schneider a subsidiary of Schneider SA lt SCHN PA> announced in a statement the creation of a Canadian subsidiary Jeumont Schneider of Canada The new subsidiary will work on developing Jeumont Schneider s Canadian sales particularly for its electro mechanical and electronics goods The company also said it had signed a distribution agreement with lt Beel Electronics> for sales of the French group s speed variators in Canada Reuter 3 </BODY>,84,2,0.023809523809523808
